product_name,product_category,product_promo,product_price,quantity_sold,location
25 Egg Incubator Digital Automatic Egg Incubator Constant Temperature Egg Incubator Fully Automatic,Others,,₱950,52 sold,"Pulilan, Bulacan"
50/30 Egg Automatic Digital Incubator Chicken Poultry Hatcher Temperature Control,Others,"8% off
Add-on Deal","₱746 - ₱1,099",6.6K sold,"Marilao, Bulacan"
Whitewood Canine Disinfectant (Cage Cleaner),Others,,₱220,1.6K sold,"Silang, Cavite"
Nexgard / Nexgard Spectra Stickers 5pcs,Others,,₱10,535 sold,"Antipolo City, Rizal"
Premium Wool / White Wool,Others,,₱230,351 sold,"Marikina City, Metro Manila"
NEXGARD STICKERS FOR PET RECORD,Others,,₱14 - ₱56,30 sold,"San Mateo, Rizal"
Electric Moving Cat Kicker Fish Toy Realistic Flopping Fish Wiggle Wagging Fish Catnip Motion Kitten,Others,,₱280,59 sold,"Imus, Cavite"
220V AC Chicken Eggs Turner Motor Components For Farm Hatcher Incubator Brooder,Others,"₱8 off
Any 3 enjoy 2% off",₱322,239 sold,Mainland China
Malathion 57EC for poultry/vegetables/PAMPALIGO NG KALAPATI,Others,,₱55,226 sold,"Pasig City, Metro Manila"
BAYNA 4.1 INCHES LONG,Others,wholesale,₱100,297 sold,"Carcar City, Cebu"
Pet Tabs 180 TABLETS (Exp. date: JUNE 2024),Others,wholesale,"₱1,390",45 sold,"Plaridel, Bulacan"
Playpets Anti Mange Spray plus,Others,,₱129,106 sold,"Muntinlupa City, Metro Manila"
Dog Birthday Boy Bandana Triangle Scarf with Cute Dog Birthday Number Hat Dog Birthday Banner,Others,₱5 off,₱119 - ₱335,58 sold,Mainland China
"Black / Green Hose for Rabbit Drinker (5,10,20 meters) (PKICHANGE TO J&T SHIPPING)",Others,,₱75 - ₱260,2.2K sold,"Marilao, Bulacan"
LINEAR FEEDER FOR CHICKEN (LOCK CONNECTED),Others,,₱33,361 sold,"Caloocan City, Metro Manila"
"VETOXIN 10ml,50ml (Oxytocin For animal only!)",Others,,₱87 - ₱310,863 sold,"Science City Of Munoz, Nueva Ecija"
T-TRAP For Pigeon Door-5PCS PER ORDER,Others,,₱80,116 sold,"Tondo I / Ii, Metro Manila"
5x5x9 small parakeet bird nest box,Others,,₱100,872 sold,"Santa Rosa City, Laguna"
100 Pcs PHA 2023/2022 Pigeon Foot Ring  Commercial Ring Dove Digital foot ring 5 colors,Others,"5% off
Any 8 enjoy 1% off",₱175 - ₱349,1.3K sold,Mainland China
GLOSSY TAPE | Tari Accessories,Others,,₱40,839 sold,"San Pedro, Laguna"
LANFY Soft Small Animal Sleeping Bed Colorful Warm Mat Hamster House Cute Winter Mini Cage Comfortable Rabbit Squirrel Guinea Pig Nest,Others,"6% off
Any 3 enjoy ₱25 off",₱81 - ₱157,54 sold,Mainland China
Dandy  Rugged Thread/Sinulid Roll Pambidbid/Bidbid Roll,Others,,₱35,443 sold,"San Pedro, Laguna"
Bacopa Monnieri Aquatic Plant,Others,,₱35 - ₱65,327 sold,"Port Area, Metro Manila"
Dwarf Sagittaria Aquatic Plant,Others,,₱60 - ₱100,58 sold,"Port Area, Metro Manila"
CARBARYL PETGARD DOG POWDER ( 120g),Others,,₱119,717 sold,"Quezon City, Metro Manila"
5Pcs High quality motor shaft egg turning motor pin Incubator egg tray replacement gear incubator gear shaft for incubator parts,Others,Any 2 enjoy 1% off,₱264,32 sold,Mainland China
Taiwan Foldable Pigeon On Hand Tbox Cage Portable Ppigeon Cage Pigeon Training Box,Others,,"₱1,538",13 sold,"Santa Cruz, Metro Manila"
2KG MOLASSES BLACKSTRAP PULOT UNSULFURED PURE SUGAR CANE,Others,,₱100,72 sold,"Plaridel, Bulacan"
Gamefowl Rooster Digital Weighing Scale w/ Flat Roost (Detachable),Others,,"₱4,500",506 sold,"Caloocan City, Metro Manila"
1canister amox by vetph,Others,,₱780,1.4K sold,"Talavera, Nueva Ecija"
Vetracin Gold 150 grams NEW PRICE,Others,wholesale,₱350,104 sold,"Plaridel, Bulacan"
Oregamix - Oregano - Garlic in Extra Virgin Olive Oil (For Pets&Animals) Natural Organic Essentials,Others,,₱100 - ₱200,1.1K sold,"Plaridel, Bulacan"
Pigeon Entrance Arch Door,Others,,₱33,1.5K sold,"Tondo I / Ii, Metro Manila"
MORINGA MALUNGGAY POWDER FOR PETS,Others,,₱41 - ₱128,794 sold,"Marikina City, Metro Manila"
Aquarium clorine remover,Others,,₱25 - ₱45,15 sold,"Norzagaray, Bulacan"
100 pcs Inner Diameter 8mm Bird Clip Rings Pigeon Colored Foot Ring 10 Colors No word foot ring,Others,Economy Delivery,₱44 - ₱54,375 sold,Mainland China
220V XM-18 Controller Hatchery Machine Digital Temperature Humidity Automatic Incubator,Others,"₱5 off
Any 2 enjoy ₱5 off","₱2,399",311 sold,"Marilao, Bulacan"
25pcs Disposable Pig (Sows) Artificial Insemination Catheter - Spiral Tip (P14.75/pc),Others,wholesale,₱375,642 sold,"Pasig City, Metro Manila"
Otiderm ear drops for pets 15ml ( Antibacterial / Insecticidal ),Others,,₱350,43 sold,"Caloocan City, Metro Manila"
Eye cleanser for Cats & Dogs,Others,,₱88,29 sold,"Caloocan City, Metro Manila"
[Crazy Pet] Pet Cleaning Products Mini Small Broom Dustpan Set Broom Dustpan Set,Others,,₱100,43 sold,"Quezon City, Metro Manila"
"Dr.Blues Super Ometol 600mcg 100's ""Free"" ( The Art of Pointing Fowl )",Others,Any 5 enjoy 5% off,"₱1,500",232 sold,"Las Pinas City, Metro Manila"
STRIPE TAPE | Tari Accessories,Others,,₱40,137 sold,"San Pedro, Laguna"
Pet Vaccination Card Vet Card Vet Certificate,Others,,₱18,6.1K sold,"Dasmarinas City, Cavite"
DOG BELT Leather(small&Large) Good Quality,Others,,₱29 - ₱44,677 sold,"Tarlac City, Tarlac"
Viddavet VIM 5 TO  7-day Boar Semen Extender,Others,"₱5 off
Any 5 enjoy ₱35 off",₱400,4.5K sold,"San Fernando City, Pampanga"
Viddavet Foam tip Catheter w/ end cap for sows/gilts (pig) 10pcs,Others,Any 2 enjoy ₱10 off,₱200,3.1K sold,"San Fernando City, Pampanga"
"(10 pcs) Pigeon Clipring clip , Kalapati Clip ring , 8mm",Others,,₱29,111 sold,"Dinalupihan, Bataan"
CUSTOMIZED SUBLIMATION CAT TAGS (BACK2BACK),Others,,₱60 - ₱120,257 sold,"Mandaluyong City, Metro Manila"
B50/2 Forten Tingi (Retai) - Isang banig (10 pcs),Others,wholesale,₱70,119 sold,"Plaridel, Bulacan"
Pitoxal Forte 5 ml (Oxytocin)NEW PRICE,Others,wholesale,₱150,168 sold,"Plaridel, Bulacan"
Pet / Cat Grass Seeds Dog Grass Seeds - Wheatgrass,Others,,₱30 - ₱60,107 sold,"Quezon City, Metro Manila"
"Curved Tweezer 4 inches for Reptile feeding , Gardening , Reptile tongs",Others,,₱25,68 sold,"Taguig City, Metro Manila"
filter wool disposable 3pcs,Others,,₱15,1.2K sold,"Caloocan City, Metro Manila"
1Pcs Manual Amniotic Fluid Suction Device For Pet Baby Dog Cat Delivery Choking Pumping Tool,Others,,₱199,8 sold,"Santa Cruz, Metro Manila"
"36/48/56 Eggs Breeding Egg Incubator With Automatic Incubator, Automatic Dual Power Incubator",Others,₱50 off,"₱2,899 - ₱3,249",9 sold,"Valenzuela City, Metro Manila"
Cat Repellent Spray for Dogs Cats Pet deterrent spray to Prevent cat Scratch,Others,Any 2 enjoy 2% off,₱79,306 sold,"Plaridel, Bulacan"
"EGG 1,000 Powder | Multivitamins 20g (1 Sachet)",Others,,₱22,257 sold,"Santo Tomas, Davao Del Norte"
Angled Valve Air Controller (2-way) Connector,Others,Visayas Specials,₱8,1.7K sold,"Talisay City, Cebu"
