product_name,product_category,product_promo,product_price,quantity_sold,location
Original Tick Away Spray 100ml for Dogs & Cats Anti-Tick Garapata Flea Pulgas Lice (100% EFFECTIVE),Pet Essentials,,₱500,12.1K sold,"Quezon City, Metro Manila"
Papi Doxy Oral Suspension 60ml,Pet Essentials,Add-on Deal,₱160,9.4K sold,"Santa Rosa City, Laguna"
Mondex Dextrose Powder 100grams,Pet Essentials,Add-on Deal,₱60 - ₱120,11K sold,"Santa Rosa City, Laguna"
Papi OB Pre and Post Pregnancy Pet Vitamins,Pet Essentials,Add-on Deal,₱200,41.5K sold,"Santa Rosa City, Laguna"
Cosi Pet's Milk Lactose Free,Pet Essentials,,₱145,66.1K sold,"Mandaluyong City, Metro Manila"
Pet Supplement Dog Supplement Cat Supplement Vitamin Multivitamin Probiotics Calcium,Pet Essentials,10% off,₱60 - ₱199,12.4K sold,"Quezon City, Metro Manila"
The Gourmet Specialist Premium Flavored Virgin Coconut Oil for Animals,Pet Essentials,,₱280,14.6K sold,"Calamba City, Laguna"
MULTIVITAMINS+ELECTROLYTES (MVE) 1 KILOGRAM,Pet Essentials,wholesale,₱220,1.9K sold,"Santa Maria, Bulacan"
Himalaya Immunol Syrup 100ml (green box original),Pet Essentials,,₱311 - ₱448,4.4K sold,"Pasig City, Metro Manila"
"Bioline Ear Care for Dogs, Cats and Rabbits (50ml) by PAW HERO",Pet Essentials,,₱135,1.3K sold,"Pasay City, Metro Manila"
Dr Shiba Healthy Dog Treat Supplement Snacks for Pets: HAPPY TUMMY - NEW FLAVOURS,Pet Essentials,₱ 436 | 3.30 ONLY,₱436 - ₱445,13.2K sold,"Muntinlupa City, Metro Manila"
Nexgard and nexgard Spectra per box,Pet Essentials,,"₱1,149 - ₱2,240",16.2K sold,"Pasig City, Metro Manila"
Papi Vermifuge Dewormer for Dogs and Cats per tablet (Tingi),Pet Essentials,wholesale,₱25,9.6K sold,"Malolos City, Bulacan"
BAYER DRONTAL PLUS FLAVOR FOR DOGS DEWORMER TABLET PER TABLET DEWORM VETERINARIAN VET PUPPY DEWORM,Pet Essentials,Any 3 enjoy 2% off,₱560,20.3K sold,"Quezon City, Metro Manila"
"BOB-Tick Buster Fipronil Dogs & Cats Spray Treatment 500mL with Free 100mL Anti Garapata,Pulgas,Kuto",Pet Essentials,,₱493,12.6K sold,"Caloocan City, Metro Manila"
Active X B12+B15 w/ Calcium+Amino Acid,Pet Essentials,₱20 off,₱650,258 sold,"Guimba, Nueva Ecija"
WUTUNS Pet Eye Drops for Dogs Cats Remove Tear Stains Dirt Health Care Liquid Eye Drops for Pet,Pet Essentials,Any 2 enjoy 2% off,₱65 - ₱79,653 sold,"Plaridel, Bulacan"
"DE Powder 250g,500g,1kg Feed Grade / De Powder / Diatomaceous Earth",Pet Essentials,,₱35 - ₱119,7.9K sold,"Valenzuela City, Metro Manila"
MADRE DE CACAO REAL LEAVES with moringga guava neem 50g soft tub OPEN FOR REBRANDING,Pet Essentials,wholesale,₱25,8.5K sold,"Teresa, Rizal"
Papi MVP Multivitamins 120ml,Pet Essentials,Add-on Deal,₱140,5.3K sold,"Santa Rosa City, Laguna"
Pure Deep Sea Fish Oil Omega 3 (Supplement for Dogs and Cats) 100 soft gels,Pet Essentials,,₱179,3.7K sold,"Calamba City, Laguna"
Coatshine Supplement 60 &120ml Vitamins Performance Enhancer,Pet Essentials,Add-on Deal,₱169 - ₱260,1.8K sold,"San Pablo City, Laguna"
Mondex D-Glucose Monohydrate,Pet Essentials,,₱50 - ₱100,6.9K sold,"Santa Rosa City, Laguna"
"Broncho Aid 60ML FEVER,COUGH,SNEEZING, CATS,DOGS KENNEL COUGH,RABBIT,BIRDS",Pet Essentials,,₱160,3.3K sold,"Marilao, Bulacan"
Sorvit Syrup Perfomance Enhancer Growth Enhancer For Cats And Dogs 60ml & 120ml,Pet Essentials,,₱90 - ₱139,4.4K sold,"Santa Rosa City, Laguna"
"LC-VIT Multivitamins 120ml for dogs, cats and other pets",Pet Essentials,₱25 off,₱123,134.2K sold,"Santa Rosa City, Laguna"
Lc vit (120ML or 60ML) for Dogs & Cats,Pet Essentials,,₱89 - ₱155,12.3K sold,"Pasig City, Metro Manila"
DEXTROSE POWDER(300grms),Pet Essentials,wholesale,₱57,5.1K sold,"Dasmarinas City, Cavite"
NEXGARD CHEWABLE TABLET FOR DOGS with STICKER,Pet Essentials,,"₱440 - ₱1,500",3.8K sold,"San Mateo, Rizal"
Vet Core+ Tick and Flea Spray with Free Vet Core Soap,Pet Essentials,,₱400,3.2K sold,"Santa Ana, Metro Manila"
"Nematocide Pyrantel Embonate, Food Suplement with sticker 15ml / 60ml",Pet Essentials,,₱82 - ₱264,8.6K sold,"Dasmarinas City, Cavite"
Coat Shine Performance Enhancer 60ml-120ml,Pet Essentials,,₱190 - ₱280,12.9K sold,"Valenzuela City, Metro Manila"
Papi Ener-G Probiotic 60ml,Pet Essentials,Add-on Deal,₱140,10.5K sold,"Santa Rosa City, Laguna"
Papi OB Pre and Post Pregnancy Pet Vitamins 120ml,Pet Essentials,Add-on Deal,₱165,6.2K sold,"Santa Rosa City, Laguna"
Vet Core+ Premium Herbal Dog Soap 120g,Pet Essentials,,₱125,1.2K sold,"Santa Ana, Metro Manila"
Tolome Probiotics For Pigeon and other animals For Better digestion and micro flora 250ml / 500ml,Pet Essentials,,₱169 - ₱269,2.3K sold,"Cabanatuan City, Nueva Ecija"
LC-Vit Syrup 120ml (Multivitamins) for Dogs and Cats,Pet Essentials,,₱188,6.7K sold,"Quezon City, Metro Manila"
LC Vit OB tablet Multivitamins for Pregnant Dogs,Pet Essentials,wholesale,₱218,4.4K sold,"Malolos City, Bulacan"
DELTACAL 50's Chewable Tablet Calcium Supplement for Dogs and Cats,Pet Essentials,,₱188,8K sold,"Dasmarinas City, Cavite"
NEW PACKAGING Iozin Wound Spray 120mL for Dog,Pet Essentials,,₱175,4.3K sold,"Dasmarinas City, Cavite"
Dog & Cat Flea & Tick Remover,Pet Essentials,,₱299,4.9K sold,"Quezon City, Metro Manila"
HumicVet 50g Powder Supplement for Pets Repacked Appetite and Immune System Booster,Pet Essentials,Add-on Deal,₱298,9.2K sold,"Quezon City, Metro Manila"
"Papi MVP Multivitamins Syrup, Food Suplement 120ML",Pet Essentials,,₱95,15K sold,"Dasmarinas City, Cavite"
Madre de Cacao Pet Powder 50g -  Made from Earth Powder -Deodorize and Protects from tick n fleas,Pet Essentials,₱ 70 | 3.30 ONLY,₱120,9.2K sold,"Pasig City, Metro Manila"
FRONTLINE Plus Flea & Tick Treatment for Dogs Repellent Anti-Flea Anti-Itching,Pet Essentials,"₱10 off
Any 2 enjoy 2% off",₱265 - ₱292,7.4K sold,"Plaridel, Bulacan"
COD Detick 1cc 2cc WHOLESALE AVAILABLE ORIGINAL FROM THAILAND Anti Tick & Flea 1cc/2cc,Pet Essentials,,₱19 - ₱65,27.1K sold,"Dasmarinas City, Cavite"
Pet Supplement Vitamin Probiotics Dogs and Cat Supplement Cat Vitamin Multivitamin 180pcs,Pet Essentials,Any 2 enjoy 2% off,₱79,979 sold,"Plaridel, Bulacan"
Organic Madre De Cacao Powder/ Anti-Bacterial Anti-Tick & Fleas Deodorizing Dry shampoo powder w,Pet Essentials,,₱65 - ₱99,5.8K sold,"Quezon City, Metro Manila"
Tobramycin Ramitob Eye Drops For Pets Cat and Dogs and Eye Infection Better than Gentamycin,Pet Essentials,Any 3 enjoy 5% off,₱179 - ₱184,7.1K sold,"Caloocan City, Metro Manila"
LC-Vit Plus Syrup (Multivitamins) for Cats,Pet Essentials,,₱110 - ₱150,2.2K sold,"Quezon City, Metro Manila"
"Madre de Cacao Round Soap 50g Anti Tick and Flea, Antibacterial, Antifungal and Anti Mange",Pet Essentials,₱ 9 | 3.30 ONLY,₱18,59.8K sold,"Pasig City, Metro Manila"
Petcher Detick and Alprocide 1cc & 2cc with Free Syringe Anti Ticks and Fleas for Dogs and Cats,Pet Essentials,Add-on Deal,₱37 - ₱92,6K sold,"Quezon City, Metro Manila"
Himalaya Nefrotec Ds,Pet Essentials,wholesale,₱279,8.4K sold,"Quezon City, Metro Manila"
Shieldgard Flea & Tick Dog Powder 120g,Pet Essentials,,₱216,2.9K sold,"Cabuyao, Laguna"
(100% EFFECTIVE) Original Tick Away Spray 100ml for Dogs & Cats Anti-Tick Garapata Flea Pulgas Lice,Pet Essentials,"₱10 off
Any 2 enjoy 2% off",₱89,2.9K sold,"Plaridel, Bulacan"
Detick ORIGINAL FROM THAILAND NOT ENGLISH CHARACTERS,Pet Essentials,,₱19 - ₱65,63.8K sold,"Dasmarinas City, Cavite"
Micosin Anti-Bacterial,Pet Essentials,₱20 off,₱265 - ₱630,8.8K sold,"Taguig City, Metro Manila"
Dextrose 1kg Powder Dextrovet Powder Arvet Brand for Pets Gamefowl Rooster Dogs Pigeon Gamebirds,Pet Essentials,,₱166,3K sold,"San Fernando City, Pampanga"
Angel Drops Vita Gold 125ml,Pet Essentials,,₱158,7.4K sold,"Quezon City, Metro Manila"
LC-Vit Syrup (Multivitamins) for Dogs and Cats,Pet Essentials,,₱138,1.3K sold,"Quezon City, Metro Manila"
"Madre de Cacao Soap Bar 135g Anti Tick and Flea , Anti Mange Lavender Scent",Pet Essentials,₱ 45 | 3.30 ONLY,₱50,75.3K sold,"Pasig City, Metro Manila"
Papi MVP Multivitamins 120ml SALE!,Pet Essentials,Add-on Deal,₱140,4.4K sold,"Santa Rosa City, Laguna"
Biocure For Pets 20 tablets,Pet Essentials,,₱200,4.5K sold,"Santa Rosa City, Laguna"
Nutriplus Gel by Virbac - April 2024 Pet Multivitamins for Dogs and Cats Nutri plus,Pet Essentials,,₱507,37.8K sold,"Malate, Metro Manila"
Detick Red Anti Tick And Flea 1cc and 2cc,Pet Essentials,Add-on Deal,₱70,6.3K sold,"Santa Rosa City, Laguna"
MADRE DE CACAO SHAMPOO AND CONDITONER 1 GALLON with FREE SOAP and COLOGNE,Pet Essentials,₱ 209 | 3.30 ONLY,₱270,6.3K sold,"Pasig City, Metro Manila"
Detick 1cc and 2 cc Anti Fleas & Ticks for Dogs and Cats,Pet Essentials,,₱37 - ₱54,72.1K sold,"Pasay City, Metro Manila"
Wash Out Intense Shampoo 10ml (24 sachets/box),Pet Essentials,wholesale,₱320,2.7K sold,"San Fernando City, Pampanga"
Virbac Nutriplus Gel 120.5g,Pet Essentials,,₱580,5.7K sold,"Valenzuela City, Metro Manila"
